             t       dwdt_avg       dwdt_std         wt_avg         wt_std
  0.000000e+00  -4.724332e+03   1.605408e+03   0.000000e+00   0.000000e+00
  1.000000e-05  -6.295378e+03   1.577551e+03  -5.509855e-02   1.587151e-02
  2.000000e-05  -8.748842e+03   1.580483e+03  -1.303196e-01   3.157053e-02
  3.000000e-05  -1.064471e+04   1.573321e+03  -2.272874e-01   4.717862e-02
  4.000000e-05  -1.270939e+04   1.517129e+03  -3.440579e-01   6.243643e-02
  5.000000e-05  -1.454386e+04   1.483061e+03  -4.803242e-01   7.718794e-02
  6.000000e-05  -1.591084e+04   1.497739e+03  -6.325977e-01   9.179501e-02
  7.000000e-05  -1.740751e+04   1.482282e+03  -7.991894e-01   1.063438e-01
  8.000000e-05  -1.877346e+04   1.482502e+03  -9.800943e-01   1.207397e-01
  9.000000e-05  -2.061515e+04   1.434488e+03  -1.177037e+00   1.348604e-01
  1.000000e-04  -2.178179e+04   1.472341e+03  -1.389022e+00   1.489413e-01
  1.100000e-04  -2.315026e+04   1.479623e+03  -1.613682e+00   1.631699e-01
  1.200000e-04  -2.456360e+04   1.505585e+03  -1.852252e+00   1.774415e-01
  1.300000e-04  -2.625689e+04   1.509416e+03  -2.106354e+00   1.917997e-01
  1.400000e-04  -2.781613e+04   1.498930e+03  -2.376719e+00   2.060759e-01
  1.500000e-04  -2.936837e+04   1.478046e+03  -2.662642e+00   2.201544e-01
  1.600000e-04  -3.110221e+04   1.442945e+03  -2.964995e+00   2.339509e-01
  1.700000e-04  -3.279515e+04   1.446504e+03  -3.284481e+00   2.475746e-01
  1.800000e-04  -3.431682e+04   1.453851e+03  -3.620041e+00   2.612780e-01
  1.900000e-04  -3.574701e+04   1.443631e+03  -3.970360e+00   2.750668e-01
  2.000000e-04  -3.746682e+04   1.420415e+03  -4.336429e+00   2.887369e-01
  2.100000e-04  -3.882456e+04   1.391162e+03  -4.717886e+00   3.020300e-01
  2.200000e-04  -4.002230e+04   1.404399e+03  -5.112121e+00   3.151656e-01
  2.300000e-04  -4.166791e+04   1.430885e+03  -5.520572e+00   3.285169e-01
  2.400000e-04  -4.278283e+04   1.413017e+03  -5.942825e+00   3.418969e-01
  2.500000e-04  -4.410752e+04   1.412081e+03  -6.377277e+00   3.551976e-01
  2.600000e-04  -4.567344e+04   1.378928e+03  -6.826182e+00   3.683056e-01
  2.700000e-04  -4.697112e+04   1.374770e+03  -7.289405e+00   3.811729e-01
  2.800000e-04  -4.824334e+04   1.375998e+03  -7.765477e+00   3.939623e-01
  2.900000e-04  -4.963535e+04   1.374904e+03  -8.254870e+00   4.066084e-01
  3.000000e-04  -5.064083e+04   1.351384e+03  -8.756251e+00   4.190342e-01
  3.100000e-04  -5.172771e+04   1.350205e+03  -9.268094e+00   4.313192e-01
  3.200000e-04  -5.317060e+04   1.367767e+03  -9.792586e+00   4.436265e-01
  3.300000e-04  -5.434673e+04   1.340315e+03  -1.033017e+01   4.558508e-01
  3.400000e-04  -5.553948e+04   1.354670e+03  -1.087960e+01   4.680227e-01
  3.500000e-04  -5.675653e+04   1.365842e+03  -1.144108e+01   4.804137e-01
  3.600000e-04  -5.780657e+04   1.353308e+03  -1.201390e+01   4.929095e-01
  3.700000e-04  -5.910794e+04   1.346814e+03  -1.259847e+01   5.053314e-01
  3.800000e-04  -6.011258e+04   1.365478e+03  -1.319457e+01   5.177742e-01
  3.900000e-04  -6.097070e+04   1.371220e+03  -1.379999e+01   5.302909e-01
  4.000000e-04  -6.200481e+04   1.377543e+03  -1.441487e+01   5.428542e-01
  4.100000e-04  -6.333396e+04   1.382073e+03  -1.504156e+01   5.555486e-01
  4.200000e-04  -6.451853e+04   1.403098e+03  -1.568082e+01   5.683716e-01
  4.300000e-04  -6.545548e+04   1.382115e+03  -1.633069e+01   5.811193e-01
  4.400000e-04  -6.648665e+04   1.353262e+03  -1.699040e+01   5.935956e-01
  4.500000e-04  -6.743829e+04   1.341046e+03  -1.766003e+01   6.058182e-01
  4.600000e-04  -6.865265e+04   1.345088e+03  -1.834048e+01   6.179266e-01
  4.700000e-04  -6.974741e+04   1.321542e+03  -1.903248e+01   6.298710e-01
  4.800000e-04  -7.065485e+04   1.286078e+03  -1.973450e+01   6.414954e-01
  4.900000e-04  -7.159563e+04   1.293997e+03  -2.044575e+01   6.529328e-01
  5.000000e-04  -7.242408e+04   1.281964e+03  -2.116585e+01   6.641777e-01
  5.100000e-04  -7.368700e+04   1.243134e+03  -2.189640e+01   6.750001e-01
  5.200000e-04  -7.451977e+04   1.230170e+03  -2.263744e+01   6.856362e-01
  5.300000e-04  -7.546861e+04   1.208324e+03  -2.338738e+01   6.962028e-01
  5.400000e-04  -7.662376e+04   1.217883e+03  -2.414784e+01   7.066539e-01
  5.500000e-04  -7.748111e+04   1.230630e+03  -2.491836e+01   7.172045e-01
  5.600000e-04  -7.843579e+04   1.243691e+03  -2.569795e+01   7.278946e-01
  5.700000e-04  -7.939473e+04   1.238972e+03  -2.648710e+01   7.386401e-01
  5.800000e-04  -8.060357e+04   1.231171e+03  -2.728709e+01   7.492813e-01
  5.900000e-04  -8.153117e+04   1.242910e+03  -2.809777e+01   7.598064e-01
  6.000000e-04  -8.279294e+04   1.238903e+03  -2.891939e+01   7.703173e-01
  6.100000e-04  -8.362364e+04   1.196718e+03  -2.975147e+01   7.806472e-01
  6.200000e-04  -8.460889e+04   1.196220e+03  -3.059263e+01   7.907976e-01
  6.300000e-04  -8.542893e+04   1.187805e+03  -3.144282e+01   8.008744e-01
