             t       dwdt_avg       dwdt_std         wt_avg         wt_std
  0.000000e+00   3.381069e+04   4.708791e+02   0.000000e+00   0.000000e+00
  1.000000e-05   3.368071e+04   4.736903e+02   3.374570e-01   4.716023e-03
  2.000000e-05   3.348634e+04   4.641497e+02   6.732922e-01   9.390561e-03
  3.000000e-05   3.335504e+04   4.664739e+02   1.007499e+00   1.401650e-02
  4.000000e-05   3.326636e+04   4.739871e+02   1.340606e+00   1.867770e-02
  5.000000e-05   3.313930e+04   4.627837e+02   1.672634e+00   2.331397e-02
  6.000000e-05   3.306687e+04   4.676484e+02   2.003665e+00   2.791676e-02
  7.000000e-05   3.289983e+04   4.578475e+02   2.333499e+00   3.248716e-02
  8.000000e-05   3.279309e+04   4.521574e+02   2.661963e+00   3.696978e-02
  9.000000e-05   3.258156e+04   4.534600e+02   2.988837e+00   4.142580e-02
  1.000000e-04   3.250377e+04   4.548345e+02   3.314263e+00   4.588628e-02
  1.100000e-04   3.242873e+04   4.547010e+02   3.638926e+00   5.033686e-02
  1.200000e-04   3.227325e+04   4.562887e+02   3.962436e+00   5.479364e-02
  1.300000e-04   3.214979e+04   4.503956e+02   4.284551e+00   5.922845e-02
  1.400000e-04   3.199880e+04   4.517379e+02   4.605294e+00   6.363645e-02
  1.500000e-04   3.186096e+04   4.442716e+02   4.924593e+00   6.802042e-02
  1.600000e-04   3.185746e+04   4.473411e+02   5.243185e+00   7.237774e-02
  1.700000e-04   3.182277e+04   4.518712e+02   5.561586e+00   7.675893e-02
  1.800000e-04   3.172774e+04   4.556991e+02   5.879338e+00   8.117079e-02
  1.900000e-04   3.159262e+04   4.538727e+02   6.195940e+00   8.557306e-02
  2.000000e-04   3.150470e+04   4.475577e+02   6.511427e+00   8.991749e-02
  2.100000e-04   3.136776e+04   4.375534e+02   6.825789e+00   9.417228e-02
  2.200000e-04   3.132752e+04   4.367711e+02   7.139265e+00   9.837064e-02
  2.300000e-04   3.122581e+04   4.280617e+02   7.452032e+00   1.025155e-01
  2.400000e-04   3.106182e+04   4.318957e+02   7.763470e+00   1.066369e-01
  2.500000e-04   3.092117e+04   4.128694e+02   8.073385e+00   1.106759e-01
  2.600000e-04   3.081401e+04   4.152465e+02   8.382061e+00   1.146062e-01
  2.700000e-04   3.073831e+04   4.197835e+02   8.689823e+00   1.185424e-01
  2.800000e-04   3.063598e+04   4.183842e+02   8.996694e+00   1.224760e-01
  2.900000e-04   3.056932e+04   4.132275e+02   9.302721e+00   1.263596e-01
  3.000000e-04   3.046784e+04   4.041416e+02   9.607906e+00   1.301710e-01
  3.100000e-04   3.031301e+04   3.937495e+02   9.911811e+00   1.338849e-01
  3.200000e-04   3.022021e+04   3.853409e+02   1.021448e+01   1.375040e-01
  3.300000e-04   3.011264e+04   3.856866e+02   1.051614e+01   1.410804e-01
  3.400000e-04   2.999940e+04   3.808294e+02   1.081670e+01   1.445964e-01
  3.500000e-04   2.986310e+04   3.796010e+02   1.111601e+01   1.480419e-01
  3.600000e-04   2.978209e+04   3.854894e+02   1.141424e+01   1.515050e-01
  3.700000e-04   2.962950e+04   3.874063e+02   1.171130e+01   1.550201e-01
  3.800000e-04   2.945410e+04   3.845002e+02   1.200672e+01   1.585460e-01
  3.900000e-04   2.937389e+04   3.819011e+02   1.230086e+01   1.620484e-01
  4.000000e-04   2.925919e+04   3.824804e+02   1.259402e+01   1.655291e-01
  4.100000e-04   2.922918e+04   3.817545e+02   1.288646e+01   1.690002e-01
  4.200000e-04   2.915341e+04   3.824320e+02   1.317838e+01   1.724443e-01
  4.300000e-04   2.907224e+04   3.830692e+02   1.346950e+01   1.758703e-01
  4.400000e-04   2.892312e+04   3.792721e+02   1.375948e+01   1.792782e-01
  4.500000e-04   2.882418e+04   3.708844e+02   1.404822e+01   1.826231e-01
  4.600000e-04   2.870623e+04   3.685234e+02   1.433587e+01   1.858986e-01
  4.700000e-04   2.862247e+04   3.706973e+02   1.462251e+01   1.891509e-01
  4.800000e-04   2.860143e+04   3.717796e+02   1.490863e+01   1.924046e-01
  4.900000e-04   2.858915e+04   3.793257e+02   1.519459e+01   1.957063e-01
  5.000000e-04   2.853178e+04   3.794125e+02   1.548019e+01   1.990580e-01
  5.100000e-04   2.837506e+04   3.699794e+02   1.576472e+01   2.023514e-01
  5.200000e-04   2.833896e+04   3.733484e+02   1.604829e+01   2.055908e-01
  5.300000e-04   2.826472e+04   3.709072e+02   1.633131e+01   2.088201e-01
  5.400000e-04   2.810990e+04   3.670916e+02   1.661319e+01   2.120463e-01
  5.500000e-04   2.806515e+04   3.685050e+02   1.689406e+01   2.153051e-01
  5.600000e-04   2.795659e+04   3.548140e+02   1.717417e+01   2.184981e-01
  5.700000e-04   2.792796e+04   3.562896e+02   1.745359e+01   2.216097e-01
  5.800000e-04   2.781104e+04   3.481302e+02   1.773229e+01   2.246892e-01
  5.900000e-04   2.767106e+04   3.413438e+02   1.800970e+01   2.276969e-01
  6.000000e-04   2.764691e+04   3.429579e+02   1.828629e+01   2.306602e-01
  6.100000e-04   2.757952e+04   3.425044e+02   1.856242e+01   2.336239e-01
  6.200000e-04   2.748342e+04   3.455694e+02   1.883773e+01   2.366048e-01
  6.300000e-04   2.737821e+04   3.473964e+02   1.911204e+01   2.396070e-01
  6.400000e-04   2.728963e+04   3.531027e+02   1.938538e+01   2.426498e-01
  6.500000e-04   2.715285e+04   3.465537e+02   1.965759e+01   2.457028e-01
  6.600000e-04   2.703041e+04   3.407163e+02   1.992851e+01   2.487128e-01
  6.700000e-04   2.700242e+04   3.357906e+02   2.019867e+01   2.516858e-01
  6.800000e-04   2.693455e+04   3.379627e+02   2.046836e+01   2.546437e-01
  6.900000e-04   2.687283e+04   3.355936e+02   2.073740e+01   2.575917e-01
  7.000000e-04   2.678738e+04   3.362613e+02   2.100570e+01   2.605393e-01
  7.100000e-04   2.670695e+04   3.305955e+02   2.127317e+01   2.634526e-01
  7.200000e-04   2.657439e+04   3.324192e+02   2.153958e+01   2.663326e-01
  7.300000e-04   2.659557e+04   3.291988e+02   2.180543e+01   2.691971e-01
  7.400000e-04   2.651499e+04   3.273748e+02   2.207098e+01   2.720359e-01
  7.500000e-04   2.645283e+04   3.244566e+02   2.233582e+01   2.748527e-01
  7.600000e-04   2.635086e+04   3.192626e+02   2.259984e+01   2.776348e-01
  7.700000e-04   2.621997e+04   3.190108e+02   2.286269e+01   2.803773e-01
  7.800000e-04   2.612348e+04   3.182424e+02   2.312441e+01   2.831059e-01
  7.900000e-04   2.611287e+04   3.178090e+02   2.338559e+01   2.858496e-01
  8.000000e-04   2.607027e+04   3.150525e+02   2.364651e+01   2.885676e-01
  8.100000e-04   2.611811e+04   3.138424e+02   2.390745e+01   2.912593e-01
  8.200000e-04   2.602915e+04   3.126407e+02   2.416818e+01   2.939282e-01
  8.300000e-04   2.598896e+04   3.100398e+02   2.442827e+01   2.965672e-01
  8.400000e-04   2.598254e+04   3.129038e+02   2.468813e+01   2.992126e-01
  8.500000e-04   2.584916e+04   3.093688e+02   2.494729e+01   3.018625e-01
  8.600000e-04   2.580324e+04   3.163958e+02   2.520555e+01   3.045368e-01
  8.700000e-04   2.575560e+04   3.155505e+02   2.546335e+01   3.072406e-01
  8.800000e-04   2.567240e+04   3.153237e+02   2.572049e+01   3.099365e-01
  8.900000e-04   2.556953e+04   3.167880e+02   2.597670e+01   3.126396e-01
  9.000000e-04   2.546104e+04   3.215843e+02   2.623185e+01   3.153541e-01
  9.100000e-04   2.542806e+04   3.293484e+02   2.648629e+01   3.180865e-01
  9.200000e-04   2.532002e+04   3.239546e+02   2.674003e+01   3.208213e-01
  9.300000e-04   2.517584e+04   3.187696e+02   2.699251e+01   3.235129e-01
  9.400000e-04   2.515965e+04   3.162953e+02   2.724419e+01   3.261633e-01
  9.500000e-04   2.505876e+04   3.135097e+02   2.749528e+01   3.287922e-01
  9.600000e-04   2.494769e+04   3.161283e+02   2.774532e+01   3.314384e-01
  9.700000e-04   2.492171e+04   3.148182e+02   2.799466e+01   3.340946e-01
  9.800000e-04   2.484901e+04   3.124755e+02   2.824352e+01   3.367254e-01
  9.900000e-04   2.476702e+04   3.107046e+02   2.849160e+01   3.393380e-01
  1.000000e-03   2.463702e+04   3.133008e+02   2.873862e+01   3.419470e-01
  1.010000e-03   2.456462e+04   3.163837e+02   2.898462e+01   3.445654e-01
  1.020000e-03   2.453656e+04   3.146668e+02   2.923013e+01   3.471886e-01
  1.030000e-03   2.452376e+04   3.174150e+02   2.947543e+01   3.498166e-01
  1.040000e-03   2.444676e+04   3.181667e+02   2.972028e+01   3.524422e-01
  1.050000e-03   2.431490e+04   3.126601e+02   2.996409e+01   3.550393e-01
  1.060000e-03   2.427781e+04   3.084393e+02   3.020706e+01   3.575909e-01
  1.070000e-03   2.422682e+04   3.109191e+02   3.044958e+01   3.601250e-01
  1.080000e-03   2.419802e+04   3.094198e+02   3.069170e+01   3.626672e-01
  1.090000e-03   2.407909e+04   3.087261e+02   3.093309e+01   3.652140e-01
  1.100000e-03   2.406919e+04   3.050114e+02   3.117383e+01   3.677322e-01
  1.110000e-03   2.399058e+04   3.004157e+02   3.141413e+01   3.702146e-01
  1.120000e-03   2.391762e+04   2.976771e+02   3.165367e+01   3.726901e-01
  1.130000e-03   2.384474e+04   2.952292e+02   3.189248e+01   3.751556e-01
  1.140000e-03   2.385338e+04   3.011137e+02   3.213097e+01   3.776411e-01
  1.150000e-03   2.374645e+04   3.054518e+02   3.236897e+01   3.801632e-01
  1.160000e-03   2.367101e+04   3.026879e+02   3.260606e+01   3.826792e-01
  1.170000e-03   2.362165e+04   3.001240e+02   3.284252e+01   3.851496e-01
  1.180000e-03   2.357885e+04   3.008416e+02   3.307853e+01   3.875965e-01
  1.190000e-03   2.350904e+04   2.982199e+02   3.331396e+01   3.900253e-01
  1.200000e-03   2.338608e+04   2.943456e+02   3.354844e+01   3.924136e-01
  1.210000e-03   2.331761e+04   2.956678e+02   3.378196e+01   3.948111e-01
  1.220000e-03   2.320254e+04   2.925257e+02   3.401456e+01   3.972050e-01
  1.230000e-03   2.314225e+04   2.902832e+02   3.424628e+01   3.995528e-01
  1.240000e-03   2.313789e+04   2.820923e+02   3.447768e+01   4.018549e-01
  1.250000e-03   2.312390e+04   2.773572e+02   3.470899e+01   4.041180e-01
  1.260000e-03   2.311507e+04   2.782160e+02   3.494019e+01   4.063647e-01
  1.270000e-03   2.306378e+04   2.817306e+02   3.517108e+01   4.086276e-01
  1.280000e-03   2.301132e+04   2.823512e+02   3.540146e+01   4.109087e-01
  1.290000e-03   2.298737e+04   2.800045e+02   3.563145e+01   4.131649e-01
  1.300000e-03   2.294946e+04   2.809198e+02   3.586114e+01   4.154139e-01
  1.310000e-03   2.289836e+04   2.788626e+02   3.609037e+01   4.176592e-01
  1.320000e-03   2.279426e+04   2.726548e+02   3.631884e+01   4.198670e-01
  1.330000e-03   2.271340e+04   2.710294e+02   3.654638e+01   4.220484e-01
  1.340000e-03   2.267734e+04   2.703550e+02   3.677333e+01   4.242538e-01
  1.350000e-03   2.260438e+04   2.706217e+02   3.699974e+01   4.264713e-01
  1.360000e-03   2.258187e+04   2.758604e+02   3.722567e+01   4.286837e-01
  1.370000e-03   2.254810e+04   2.763318e+02   3.745132e+01   4.309038e-01
  1.380000e-03   2.250076e+04   2.762809e+02   3.767656e+01   4.331160e-01
  1.390000e-03   2.240923e+04   2.725974e+02   3.790111e+01   4.353037e-01
  1.400000e-03   2.229939e+04   2.735954e+02   3.812466e+01   4.374683e-01
  1.410000e-03   2.224104e+04   2.766371e+02   3.834736e+01   4.396338e-01
  1.420000e-03   2.221301e+04   2.735777e+02   3.856963e+01   4.417663e-01
  1.430000e-03   2.215857e+04   2.752463e+02   3.879149e+01   4.438627e-01
  1.440000e-03   2.211435e+04   2.745107e+02   3.901285e+01   4.459474e-01
  1.450000e-03   2.201348e+04   2.751930e+02   3.923349e+01   4.480062e-01
  1.460000e-03   2.196314e+04   2.715253e+02   3.945337e+01   4.500417e-01
  1.470000e-03   2.194990e+04   2.757304e+02   3.967294e+01   4.520872e-01
  1.480000e-03   2.191271e+04   2.699025e+02   3.989225e+01   4.541439e-01
  1.490000e-03   2.182181e+04   2.678530e+02   4.011092e+01   4.561827e-01
  1.500000e-03   2.174808e+04   2.617421e+02   4.032877e+01   4.581825e-01
  1.510000e-03   2.170385e+04   2.662580e+02   4.054603e+01   4.601704e-01
  1.520000e-03   2.159544e+04   2.671632e+02   4.076253e+01   4.621704e-01
  1.530000e-03   2.154794e+04   2.656467e+02   4.097825e+01   4.641441e-01
  1.540000e-03   2.151694e+04   2.650240e+02   4.119357e+01   4.660863e-01
  1.550000e-03   2.147454e+04   2.586821e+02   4.140853e+01   4.679951e-01
  1.560000e-03   2.135484e+04   2.517246e+02   4.162268e+01   4.698565e-01
  1.570000e-03   2.129032e+04   2.467427e+02   4.183590e+01   4.716726e-01
  1.580000e-03   2.123142e+04   2.412975e+02   4.204851e+01   4.734555e-01
  1.590000e-03   2.121746e+04   2.428009e+02   4.226075e+01   4.752341e-01
  1.600000e-03   2.120384e+04   2.462778e+02   4.247286e+01   4.770433e-01
  1.610000e-03   2.114121e+04   2.497082e+02   4.268459e+01   4.788775e-01
  1.620000e-03   2.108492e+04   2.543194e+02   4.289572e+01   4.807401e-01
  1.630000e-03   2.105524e+04   2.483441e+02   4.310642e+01   4.826028e-01
  1.640000e-03   2.100003e+04   2.475506e+02   4.331669e+01   4.844323e-01
  1.650000e-03   2.094409e+04   2.439689e+02   4.352641e+01   4.862416e-01
  1.660000e-03   2.092863e+04   2.453759e+02   4.373578e+01   4.880470e-01
  1.670000e-03   2.089968e+04   2.344664e+02   4.394492e+01   4.898196e-01
  1.680000e-03   2.084727e+04   2.383744e+02   4.415365e+01   4.915661e-01
  1.690000e-03   2.077536e+04   2.346830e+02   4.436177e+01   4.933177e-01
  1.700000e-03   2.076048e+04   2.356398e+02   4.456945e+01   4.950727e-01
  1.710000e-03   2.064391e+04   2.335647e+02   4.477647e+01   4.968354e-01
