             t       dwdt_avg       dwdt_std         wt_avg         wt_std
  0.000000e+00   6.793876e+04   6.615733e+03   0.000000e+00   0.000000e+00
  1.000000e-05   6.552589e+04   4.984906e+03   6.673232e-01   5.785643e-02
  2.000000e-05   6.661084e+04   5.750904e+03   1.328007e+00   1.114065e-01
  3.000000e-05   6.534658e+04   4.873453e+03   1.987794e+00   1.643396e-01
  4.000000e-05   6.361482e+04   3.853949e+03   2.632601e+00   2.072970e-01
  5.000000e-05   6.320324e+04   3.562328e+03   3.266691e+00   2.423707e-01
  6.000000e-05   6.316900e+04   3.736388e+03   3.898552e+00   2.760854e-01
  7.000000e-05   6.162576e+04   3.229791e+03   4.522526e+00   3.077194e-01
  8.000000e-05   6.095514e+04   3.064454e+03   5.135431e+00   3.357965e-01
  9.000000e-05   5.990988e+04   2.482025e+03   5.739756e+00   3.606124e-01
  1.000000e-04   5.882102e+04   2.250684e+03   6.333410e+00   3.811756e-01
  1.100000e-04   5.868991e+04   2.216416e+03   6.920965e+00   4.004866e-01
  1.200000e-04   5.787036e+04   1.944238e+03   7.503766e+00   4.187388e-01
  1.300000e-04   5.718040e+04   1.768547e+03   8.079020e+00   4.345687e-01
  1.400000e-04   5.667313e+04   1.702897e+03   8.648288e+00   4.487668e-01
  1.500000e-04   5.630820e+04   1.644891e+03   9.213195e+00   4.620698e-01
  1.600000e-04   5.587284e+04   1.561320e+03   9.774100e+00   4.744472e-01
  1.700000e-04   5.534325e+04   1.559307e+03   1.033018e+01   4.863968e-01
  1.800000e-04   5.522216e+04   1.564396e+03   1.088301e+01   4.985944e-01
  1.900000e-04   5.510205e+04   1.569042e+03   1.143463e+01   5.108188e-01
  2.000000e-04   5.478258e+04   1.496126e+03   1.198405e+01   5.227565e-01
  2.100000e-04   5.439170e+04   1.424931e+03   1.252992e+01   5.340773e-01
  2.200000e-04   5.407917e+04   1.399971e+03   1.307228e+01   5.448547e-01
  2.300000e-04   5.350245e+04   1.335019e+03   1.361019e+01   5.552716e-01
  2.400000e-04   5.301947e+04   1.301406e+03   1.414279e+01   5.651962e-01
  2.500000e-04   5.259820e+04   1.249274e+03   1.467088e+01   5.747670e-01
  2.600000e-04   5.217880e+04   1.204348e+03   1.519477e+01   5.839854e-01
  2.700000e-04   5.206582e+04   1.203333e+03   1.571599e+01   5.930277e-01
  2.800000e-04   5.160471e+04   1.175314e+03   1.623434e+01   6.021145e-01
  2.900000e-04   5.141421e+04   1.163667e+03   1.674944e+01   6.111171e-01
  3.000000e-04   5.117950e+04   1.140012e+03   1.726241e+01   6.200158e-01
  3.100000e-04   5.081485e+04   1.107098e+03   1.777238e+01   6.287624e-01
  3.200000e-04   5.037338e+04   1.078489e+03   1.827832e+01   6.374411e-01
  3.300000e-04   5.006275e+04   1.047782e+03   1.878050e+01   6.460392e-01
  3.400000e-04   4.958521e+04   1.006867e+03   1.927874e+01   6.543020e-01
  3.500000e-04   4.934941e+04   9.998434e+02   1.977341e+01   6.620800e-01
  3.600000e-04   4.894803e+04   9.615221e+02   2.026490e+01   6.694680e-01
  3.700000e-04   4.841024e+04   9.361540e+02   2.075169e+01   6.766234e-01
  3.800000e-04   4.782387e+04   9.046971e+02   2.123286e+01   6.836088e-01
  3.900000e-04   4.774551e+04   9.070552e+02   2.171071e+01   6.905729e-01
  4.000000e-04   4.717663e+04   8.626703e+02   2.218532e+01   6.973248e-01
  4.100000e-04   4.710372e+04   8.888024e+02   2.265672e+01   7.039184e-01
  4.200000e-04   4.698040e+04   8.773388e+02   2.312714e+01   7.106216e-01
  4.300000e-04   4.672920e+04   8.606854e+02   2.359569e+01   7.172258e-01
  4.400000e-04   4.659180e+04   8.361542e+02   2.406230e+01   7.235484e-01
  4.500000e-04   4.624889e+04   8.160552e+02   2.452650e+01   7.295739e-01
  4.600000e-04   4.597613e+04   7.878047e+02   2.498762e+01   7.353189e-01
  4.700000e-04   4.597491e+04   7.888370e+02   2.544738e+01   7.409325e-01
  4.800000e-04   4.580766e+04   7.992044e+02   2.590629e+01   7.466518e-01
  4.900000e-04   4.554510e+04   7.917084e+02   2.636306e+01   7.523123e-01
  5.000000e-04   4.520629e+04   7.796478e+02   2.681681e+01   7.577418e-01
  5.100000e-04   4.509950e+04   7.636160e+02   2.726834e+01   7.629286e-01
  5.200000e-04   4.481119e+04   7.485501e+02   2.771790e+01   7.679602e-01
  5.300000e-04   4.469323e+04   7.522357e+02   2.816542e+01   7.730299e-01
  5.400000e-04   4.457791e+04   7.425191e+02   2.861177e+01   7.780859e-01
  5.500000e-04   4.447958e+04   7.666671e+02   2.905706e+01   7.831939e-01
  5.600000e-04   4.415707e+04   7.412140e+02   2.950024e+01   7.882318e-01
  5.700000e-04   4.406403e+04   7.276056e+02   2.994135e+01   7.930779e-01
  5.800000e-04   4.379642e+04   7.174474e+02   3.038065e+01   7.978402e-01
  5.900000e-04   4.357137e+04   6.999330e+02   3.081749e+01   8.023830e-01
  6.000000e-04   4.339805e+04   6.989999e+02   3.125234e+01   8.066695e-01
  6.100000e-04   4.315713e+04   6.938492e+02   3.168511e+01   8.108368e-01
  6.200000e-04   4.299432e+04   7.032617e+02   3.211587e+01   8.150400e-01
  6.300000e-04   4.277202e+04   6.955444e+02   3.254470e+01   8.192648e-01
  6.400000e-04   4.269513e+04   7.178469e+02   3.297204e+01   8.235126e-01
  6.500000e-04   4.241309e+04   7.222655e+02   3.339758e+01   8.278393e-01
  6.600000e-04   4.225631e+04   7.006106e+02   3.382093e+01   8.321509e-01
  6.700000e-04   4.186190e+04   6.864076e+02   3.424152e+01   8.363428e-01
  6.800000e-04   4.166714e+04   6.781285e+02   3.465916e+01   8.404060e-01
  6.900000e-04   4.155053e+04   6.619942e+02   3.507525e+01   8.443428e-01
