             t       dwdt_avg       dwdt_std         wt_avg         wt_std
  0.000000e+00   6.247674e+05   4.762926e+04   0.000000e+00   0.000000e+00
  1.000000e-05   6.129278e+05   4.243180e+04   6.188476e+00   4.491792e-01
  2.000000e-05   5.946684e+05   3.309273e+04   1.222646e+01   8.242025e-01
  3.000000e-05   5.700208e+05   2.348287e+04   1.804990e+01   1.098986e+00
  4.000000e-05   5.510966e+05   1.886311e+04   2.365549e+01   1.295957e+00
  5.000000e-05   5.376531e+05   1.642443e+04   2.909924e+01   1.454703e+00
  6.000000e-05   5.229314e+05   1.407251e+04   3.440216e+01   1.586527e+00
  7.000000e-05   5.135731e+05   1.312080e+04   3.958468e+01   1.699895e+00
  8.000000e-05   5.057256e+05   1.253387e+04   4.468118e+01   1.805566e+00
  9.000000e-05   4.976677e+05   1.194504e+04   4.969814e+01   1.907526e+00
  1.000000e-04   4.847622e+05   1.089420e+04   5.461029e+01   2.003924e+00
  1.100000e-04   4.764842e+05   1.020660e+04   5.941652e+01   2.092702e+00
  1.200000e-04   4.679002e+05   9.557545e+03   6.413845e+01   2.175587e+00
  1.300000e-04   4.590580e+05   9.283482e+03   6.877324e+01   2.253270e+00
  1.400000e-04   4.535298e+05   8.882664e+03   7.333618e+01   2.327777e+00
  1.500000e-04   4.457762e+05   8.315706e+03   7.783271e+01   2.398901e+00
  1.600000e-04   4.397703e+05   7.948600e+03   8.226044e+01   2.466351e+00
  1.700000e-04   4.347719e+05   7.741119e+03   8.663315e+01   2.531713e+00
  1.800000e-04   4.284366e+05   7.550052e+03   9.094919e+01   2.595153e+00
  1.900000e-04   4.223671e+05   7.399704e+03   9.520321e+01   2.656306e+00
  2.000000e-04   4.157044e+05   6.944594e+03   9.939357e+01   2.714259e+00
  2.100000e-04   4.089533e+05   6.653175e+03   1.035169e+02   2.768251e+00
  2.200000e-04   4.035352e+05   6.550172e+03   1.075793e+02   2.820367e+00
  2.300000e-04   3.984800e+05   6.429250e+03   1.115894e+02   2.871261e+00
  2.400000e-04   3.927777e+05   6.228446e+03   1.155457e+02   2.920741e+00
  2.500000e-04   3.886483e+05   5.972244e+03   1.194528e+02   2.968243e+00
  2.600000e-04   3.833810e+05   5.788446e+03   1.233129e+02   3.013524e+00
  2.700000e-04   3.793091e+05   5.593193e+03   1.271264e+02   3.057474e+00
  2.800000e-04   3.751580e+05   5.319947e+03   1.308987e+02   3.099848e+00
  2.900000e-04   3.705993e+05   5.177660e+03   1.346275e+02   3.140671e+00
  3.000000e-04   3.669293e+05   5.023765e+03   1.383152e+02   3.180128e+00
  3.100000e-04   3.629671e+05   4.865022e+03   1.419646e+02   3.217877e+00
  3.200000e-04   3.590698e+05   4.789363e+03   1.455748e+02   3.254394e+00
  3.300000e-04   3.553833e+05   4.718213e+03   1.491471e+02   3.290032e+00
  3.400000e-04   3.517841e+05   4.613757e+03   1.526829e+02   3.324693e+00
  3.500000e-04   3.468892e+05   4.468814e+03   1.561763e+02   3.358720e+00
  3.600000e-04   3.423555e+05   4.364862e+03   1.596225e+02   3.392086e+00
  3.700000e-04   3.390545e+05   4.250206e+03   1.630296e+02   3.424452e+00
  3.800000e-04   3.350160e+05   4.114869e+03   1.663999e+02   3.455531e+00
  3.900000e-04   3.294622e+05   4.017713e+03   1.697223e+02   3.485604e+00
  4.000000e-04   3.250757e+05   3.935769e+03   1.729950e+02   3.515032e+00
  4.100000e-04   3.217961e+05   3.815305e+03   1.762294e+02   3.543510e+00
  4.200000e-04   3.184530e+05   3.648516e+03   1.794306e+02   3.571058e+00
  4.300000e-04   3.148863e+05   3.635258e+03   1.825973e+02   3.598011e+00
  4.400000e-04   3.112867e+05   3.568400e+03   1.857282e+02   3.624578e+00
  4.500000e-04   3.083600e+05   3.496412e+03   1.888264e+02   3.650712e+00
  4.600000e-04   3.051664e+05   3.408279e+03   1.918940e+02   3.676031e+00
  4.700000e-04   3.021031e+05   3.321502e+03   1.949304e+02   3.700313e+00
  4.800000e-04   2.985039e+05   3.321676e+03   1.979334e+02   3.724072e+00
  4.900000e-04   2.955494e+05   3.290261e+03   2.009037e+02   3.747746e+00
  5.000000e-04   2.931809e+05   3.289517e+03   2.038473e+02   3.771216e+00
  5.100000e-04   2.901794e+05   3.193922e+03   2.067641e+02   3.794192e+00
  5.200000e-04   2.878860e+05   3.190146e+03   2.096545e+02   3.816758e+00
  5.300000e-04   2.855363e+05   3.139930e+03   2.125216e+02   3.839455e+00
  5.400000e-04   2.828353e+05   3.044360e+03   2.153634e+02   3.862078e+00
  5.500000e-04   2.803518e+05   3.014720e+03   2.181794e+02   3.883986e+00
  5.600000e-04   2.775003e+05   2.990197e+03   2.209686e+02   3.905239e+00
  5.700000e-04   2.746530e+05   2.827588e+03   2.237294e+02   3.925766e+00
  5.800000e-04   2.723048e+05   2.789450e+03   2.264642e+02   3.945671e+00
  5.900000e-04   2.699856e+05   2.745119e+03   2.291756e+02   3.965362e+00
  6.000000e-04   2.677252e+05   2.712325e+03   2.318642e+02   3.984781e+00
  6.100000e-04   2.660371e+05   2.703543e+03   2.345330e+02   4.003943e+00
  6.200000e-04   2.638363e+05   2.670355e+03   2.371824e+02   4.022579e+00
  6.300000e-04   2.616717e+05   2.687183e+03   2.398099e+02   4.040801e+00
  6.400000e-04   2.588216e+05   2.561792e+03   2.424124e+02   4.058775e+00
  6.500000e-04   2.560582e+05   2.502451e+03   2.449868e+02   4.076211e+00
  6.600000e-04   2.531982e+05   2.477106e+03   2.475330e+02   4.093287e+00
  6.700000e-04   2.509245e+05   2.417157e+03   2.500537e+02   4.110028e+00
  6.800000e-04   2.484599e+05   2.345974e+03   2.525506e+02   4.126562e+00
  6.900000e-04   2.464798e+05   2.354697e+03   2.550253e+02   4.142979e+00
  7.000000e-04   2.444271e+05   2.278400e+03   2.574798e+02   4.159015e+00
  7.100000e-04   2.427602e+05   2.269083e+03   2.599158e+02   4.174847e+00
  7.200000e-04   2.405141e+05   2.236332e+03   2.623321e+02   4.190721e+00
  7.300000e-04   2.382823e+05   2.255141e+03   2.647261e+02   4.206717e+00
  7.400000e-04   2.362706e+05   2.255468e+03   2.670989e+02   4.222643e+00
  7.500000e-04   2.340042e+05   2.234993e+03   2.694502e+02   4.238228e+00
  7.600000e-04   2.312900e+05   2.178257e+03   2.717767e+02   4.253462e+00
  7.700000e-04   2.293978e+05   2.171360e+03   2.740802e+02   4.268291e+00
  7.800000e-04   2.275473e+05   2.141044e+03   2.763649e+02   4.282729e+00
  7.900000e-04   2.254124e+05   2.061944e+03   2.786297e+02   4.296764e+00
  8.000000e-04   2.234093e+05   2.005512e+03   2.808738e+02   4.310371e+00
  8.100000e-04   2.212825e+05   1.997927e+03   2.830972e+02   4.323616e+00
  8.200000e-04   2.197959e+05   1.981578e+03   2.853026e+02   4.336886e+00
  8.300000e-04   2.179129e+05   1.986113e+03   2.874912e+02   4.350275e+00
  8.400000e-04   2.159208e+05   1.946579e+03   2.896604e+02   4.363556e+00
  8.500000e-04   2.139134e+05   1.927157e+03   2.918095e+02   4.376601e+00
  8.600000e-04   2.119515e+05   1.897320e+03   2.939388e+02   4.389331e+00
  8.700000e-04   2.107006e+05   1.885279e+03   2.960521e+02   4.401918e+00
  8.800000e-04   2.087744e+05   1.881526e+03   2.981495e+02   4.414483e+00
  8.900000e-04   2.071792e+05   1.851493e+03   3.002293e+02   4.427003e+00
  9.000000e-04   2.052800e+05   1.803135e+03   3.022915e+02   4.439349e+00
  9.100000e-04   2.036715e+05   1.824396e+03   3.043363e+02   4.451658e+00
  9.200000e-04   2.022414e+05   1.795473e+03   3.063659e+02   4.463875e+00
  9.300000e-04   2.004536e+05   1.743490e+03   3.083793e+02   4.475569e+00
  9.400000e-04   1.990832e+05   1.731655e+03   3.103770e+02   4.486896e+00
  9.500000e-04   1.974245e+05   1.718362e+03   3.123596e+02   4.498193e+00
  9.600000e-04   1.957228e+05   1.707373e+03   3.143253e+02   4.509479e+00
  9.700000e-04   1.944813e+05   1.712744e+03   3.162763e+02   4.520870e+00
  9.800000e-04   1.929183e+05   1.677971e+03   3.182133e+02   4.532145e+00
  9.900000e-04   1.914719e+05   1.634458e+03   3.201353e+02   4.543057e+00
  1.000000e-03   1.896691e+05   1.626455e+03   3.220410e+02   4.553946e+00
  1.010000e-03   1.883874e+05   1.628533e+03   3.239313e+02   4.564775e+00
  1.020000e-03   1.872223e+05   1.671035e+03   3.258093e+02   4.575617e+00
  1.030000e-03   1.857720e+05   1.671357e+03   3.276743e+02   4.586577e+00
  1.040000e-03   1.843911e+05   1.632654e+03   3.295251e+02   4.597058e+00
  1.050000e-03   1.827647e+05   1.633958e+03   3.313609e+02   4.607059e+00
  1.060000e-03   1.815852e+05   1.592592e+03   3.331826e+02   4.616987e+00
  1.070000e-03   1.800690e+05   1.542762e+03   3.349909e+02   4.626603e+00
  1.080000e-03   1.788717e+05   1.518630e+03   3.367856e+02   4.635881e+00
  1.090000e-03   1.776788e+05   1.480161e+03   3.385684e+02   4.645027e+00
  1.100000e-03   1.762351e+05   1.476228e+03   3.403379e+02   4.654068e+00
  1.110000e-03   1.746762e+05   1.435979e+03   3.420925e+02   4.662953e+00
  1.120000e-03   1.732620e+05   1.402281e+03   3.438322e+02   4.671599e+00
  1.130000e-03   1.718233e+05   1.374524e+03   3.455576e+02   4.680057e+00
  1.140000e-03   1.704032e+05   1.349377e+03   3.472687e+02   4.688336e+00
