        t         wt_avg         wt_std         ct_avg         ct_std         st_avg         st_std         vt_avg         vt_std         ft_avg         ft_std
  0.00000    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00
  0.00005    9.06180E-09    2.71011E-09   -6.24026E-13    1.74922E-14    9.06242E-09    2.71011E-09    1.57467E-10    1.78358E-06    8.90496E-09    1.78367E-06
  0.00010    2.60014E-08    7.54652E-09   -3.70118E-12    9.55713E-14    2.60051E-08    7.54652E-09    6.11768E-10    3.51554E-06    2.53934E-08    3.51571E-06
  0.00015    5.95948E-08    1.74748E-08   -1.17253E-11    2.96500E-13    5.96065E-08    1.74749E-08    1.36464E-09    5.25058E-06    5.82419E-08    5.25114E-06
  0.00020    1.01401E-07    2.93110E-08   -2.74104E-11    6.37150E-13    1.01428E-07    2.93110E-08    2.64630E-09    7.31171E-06    9.87821E-08    7.31331E-06
  0.00025    1.41962E-07    3.89289E-08   -5.31987E-11    1.25869E-12    1.42015E-07    3.89288E-08    3.95287E-09    8.93625E-06    1.38062E-07    8.93912E-06
  0.00030    1.88632E-07    4.96802E-08   -9.12567E-11    2.28607E-12    1.88723E-07    4.96802E-08    5.79846E-09    1.08232E-05    1.82924E-07    1.08289E-05
  0.00035    2.43065E-07    6.27628E-08   -1.43384E-10    3.70780E-12    2.43208E-07    6.27628E-08    7.41073E-09    1.22357E-05    2.35797E-07    1.22435E-05
  0.00040    2.91505E-07    7.39247E-08   -2.13294E-10    5.56947E-12    2.91718E-07    7.39249E-08    9.50265E-09    1.38555E-05    2.82215E-07    1.38655E-05
  0.00045    3.43078E-07    8.55169E-08   -3.00040E-10    7.48513E-12    3.43378E-07    8.55173E-08    1.20216E-08    1.55841E-05    3.31357E-07    1.55975E-05
  0.00050    4.10718E-07    1.01529E-07   -4.05583E-10    9.36728E-12    4.11123E-07    1.01529E-07    1.46068E-08    1.71782E-05    3.96517E-07    1.71945E-05
  0.00055    5.11593E-07    1.24160E-07   -5.35825E-10    1.18719E-11    5.12129E-07    1.24160E-07    1.81322E-08    1.91393E-05    4.93997E-07    1.91630E-05
