        t         wt_avg         wt_std         ct_avg         ct_std         st_avg         st_std         vt_avg         vt_std         ft_avg         ft_std
  0.00000    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00
  0.00005    6.59492E-08    2.32046E-08   -3.56319E-12    1.05836E-13    6.59528E-08    2.32046E-08    7.64523E-10    3.93001E-06    6.51883E-08    3.92414E-06
  0.00010    1.79488E-07    5.85524E-08   -2.12261E-11    5.48061E-13    1.79510E-07    5.85523E-08    3.13891E-09    7.96323E-06    1.76371E-07    7.94854E-06
  0.00015    3.72836E-07    1.16334E-07   -6.64531E-11    1.62821E-12    3.72902E-07    1.16334E-07    6.82638E-09    1.17435E-05    3.66076E-07    1.17209E-05
  0.00020    5.91918E-07    1.82820E-07   -1.52541E-10    3.56252E-12    5.92070E-07    1.82821E-07    1.23032E-08    1.57656E-05    5.79767E-07    1.57422E-05
  0.00025    8.16124E-07    2.44126E-07   -2.97205E-10    6.92614E-12    8.16421E-07    2.44126E-07    1.74685E-08    1.87858E-05    7.98953E-07    1.87610E-05
  0.00030    1.05357E-06    3.07765E-07   -5.18191E-10    1.20623E-11    1.05409E-06    3.07765E-07    2.74124E-08    2.35330E-05    1.02668E-06    2.35110E-05
  0.00035    1.26365E-06    3.67580E-07   -8.37990E-10    2.07041E-11    1.26449E-06    3.67579E-07    3.82032E-08    2.77815E-05    1.22628E-06    2.77771E-05
  0.00040    1.45909E-06    4.29104E-07   -1.25528E-09    3.09075E-11    1.46035E-06    4.29104E-07    5.03567E-08    3.18962E-05    1.40999E-06    3.18735E-05
  0.00045    1.72717E-06    5.28041E-07   -1.77903E-09    3.98145E-11    1.72895E-06    5.28041E-07    6.29987E-08    3.56758E-05    1.66595E-06    3.56390E-05
  0.00050    2.03932E-06    6.67452E-07   -2.41685E-09    5.07375E-11    2.04174E-06    6.67453E-07    7.74180E-08    3.95484E-05    1.96432E-06    3.94900E-05
  0.00055    2.33722E-06    7.99839E-07   -3.18754E-09    6.29650E-11    2.34041E-06    7.99841E-07    9.91003E-08    4.47458E-05    2.24131E-06    4.46757E-05
  0.00060    2.66634E-06    9.15596E-07   -4.11896E-09    7.83234E-11    2.67046E-06    9.15597E-07    1.15271E-07    4.82586E-05    2.55519E-06    4.81810E-05
  0.00065    3.14467E-06    1.03528E-06   -5.22568E-09    9.66889E-11    3.14989E-06    1.03528E-06    1.33861E-07    5.20057E-05    3.01603E-06    5.19461E-05
  0.00070    3.74058E-06    1.17133E-06   -6.51488E-09    1.20090E-10    3.74710E-06    1.17133E-06    1.59142E-07    5.67038E-05    3.58795E-06    5.65983E-05
  0.00075    4.34480E-06    1.31304E-06   -8.02559E-09    1.51249E-10    4.35283E-06    1.31303E-06    1.75766E-07    5.95925E-05    4.17706E-06    5.94787E-05
  0.00080    4.89510E-06    1.44783E-06   -9.75289E-09    1.86557E-10    4.90486E-06    1.44781E-06    2.00173E-07    6.35956E-05    4.70468E-06    6.34398E-05
  0.00085    5.27773E-06    1.53644E-06   -1.16969E-08    2.23984E-10    5.28942E-06    1.53642E-06    2.30790E-07    6.82863E-05    5.05863E-06    6.81110E-05
  0.00090    5.73346E-06    1.64538E-06   -1.38954E-08    2.66745E-10    5.74735E-06    1.64536E-06    2.45064E-07    7.03668E-05    5.50229E-06    7.02085E-05
  0.00095    6.34102E-06    1.80933E-06   -1.63638E-08    3.14732E-10    6.35738E-06    1.80931E-06    2.85935E-07    7.60087E-05    6.07145E-06    7.58320E-05
  0.00100    6.84041E-06    1.94817E-06   -1.91402E-08    3.70920E-10    6.85955E-06    1.94815E-06    3.17251E-07    8.00628E-05    6.54230E-06    7.99120E-05
  0.00105    7.46864E-06    2.08492E-06   -2.22647E-08    4.26196E-10    7.49091E-06    2.08488E-06    3.35189E-07    8.22964E-05    7.15572E-06    8.21163E-05
  0.00110    8.24625E-06    2.26580E-06   -2.57136E-08    4.85039E-10    8.27196E-06    2.26574E-06    3.56986E-07    8.49305E-05    7.91497E-06    8.47674E-05
  0.00115    8.87595E-06    2.40357E-06   -2.94927E-08    5.51500E-10    8.90544E-06    2.40351E-06    3.63430E-07    8.56922E-05    8.54201E-06    8.55288E-05
  0.00120    9.54120E-06    2.53953E-06   -3.35426E-08    6.08305E-10    9.57474E-06    2.53946E-06    3.95880E-07    8.94365E-05    9.17886E-06    8.91582E-05
  0.00125    1.05166E-05    2.78260E-06   -3.78130E-08    6.60579E-10    1.05544E-05    2.78254E-06    4.60622E-07    9.64758E-05    1.00938E-05    9.61800E-05
  0.00130    1.16069E-05    3.06711E-06   -4.23929E-08    7.18221E-10    1.16493E-05    3.06705E-06    4.94979E-07    1.00008E-04    1.11543E-05    9.96150E-05
  0.00135    1.25267E-05    3.28697E-06   -4.73616E-08    7.91074E-10    1.25741E-05    3.28691E-06    5.22856E-07    1.02787E-04    1.20512E-05    1.02397E-04
  0.00140    1.32808E-05    3.45523E-06   -5.28356E-08    8.76915E-10    1.33336E-05    3.45516E-06    5.50902E-07    1.05508E-04    1.27827E-05    1.05132E-04
  0.00145    1.40819E-05    3.63735E-06   -5.88533E-08    9.77985E-10    1.41408E-05    3.63727E-06    5.75875E-07    1.07873E-04    1.35649E-05    1.07551E-04
  0.00150    1.50797E-05    3.88777E-06   -6.55082E-08    1.11385E-09    1.51452E-05    3.88772E-06    5.83434E-07    1.08579E-04    1.45618E-05    1.08373E-04
  0.00155    1.61636E-05    4.14508E-06   -7.27429E-08    1.26826E-09    1.62363E-05    4.14506E-06    6.44329E-07    1.14105E-04    1.55920E-05    1.13907E-04
  0.00160    1.73070E-05    4.34040E-06   -8.03077E-08    1.41924E-09    1.73873E-05    4.34042E-06    7.16317E-07    1.20309E-04    1.66710E-05    1.20073E-04
  0.00165    1.85073E-05    4.49785E-06   -8.82485E-08    1.57087E-09    1.85955E-05    4.49790E-06    7.69580E-07    1.24704E-04    1.78259E-05    1.24419E-04
