        t         wt_avg         wt_std       dwdt_avg       dwdt_std
  0.00000    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00
  0.00005    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00
  0.00010    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00
  0.00015    9.57385E-10    3.25299E-10    3.82954E-05    1.30120E-05
  0.00020    3.40001E-09    1.05751E-09    5.94098E-05    1.79869E-05
  0.00025    7.49980E-09    2.32132E-09    1.04582E-04    3.62201E-05
  0.00030    1.34794E-08    4.31678E-09    1.34603E-04    4.70701E-05
  0.00035    2.14548E-08    6.59573E-09    1.84411E-04    5.88459E-05
  0.00040    3.08937E-08    8.94799E-09    1.93146E-04    5.30353E-05
  0.00045    4.29090E-08    1.16164E-08    2.87465E-04    9.05913E-05
  0.00050    5.94266E-08    1.58639E-08    3.73239E-04    1.18805E-04
  0.00055    7.66399E-08    2.05043E-08    3.15295E-04    8.79691E-05
  0.00060    9.18476E-08    2.41935E-08    2.93012E-04    9.47419E-05
  0.00065    1.09142E-07    2.91396E-08    3.98750E-04    1.63735E-04
  0.00070    1.32047E-07    3.58815E-08    5.17472E-04    2.09034E-04
  0.00075    1.55851E-07    4.21077E-08    4.34676E-04    1.36852E-04
  0.00080    1.79686E-07    4.81426E-08    5.18724E-04    1.82401E-04
  0.00085    2.04884E-07    5.44648E-08    4.89192E-04    1.34858E-04
  0.00090    2.30705E-07    5.99015E-08    5.43658E-04    1.79817E-04
  0.00095    2.58536E-07    6.59345E-08    5.69582E-04    2.31570E-04
  0.00100    2.89494E-07    7.23204E-08    6.68725E-04    1.93607E-04
  0.00105    3.22308E-07    7.76945E-08    6.43841E-04    1.56402E-04
  0.00110    3.62674E-07    8.38192E-08    9.70804E-04    3.39539E-04
  0.00115    4.08549E-07    9.17769E-08    8.64211E-04    2.86732E-04
  0.00120    4.47599E-07    9.99103E-08    6.97767E-04    2.25235E-04
  0.00125    4.91196E-07    1.11518E-07    1.04612E-03    3.63445E-04
  0.00130    5.43199E-07    1.25976E-07    1.03399E-03    3.46136E-04
  0.00135    5.94798E-07    1.37968E-07    1.02997E-03    2.93100E-04
  0.00140    6.54490E-07    1.48850E-07    1.35773E-03    3.53344E-04
  0.00145    7.23428E-07    1.61202E-07    1.39978E-03    3.25922E-04
  0.00150    7.91962E-07    1.73638E-07    1.34157E-03    3.05556E-04
  0.00155    8.70464E-07    1.87556E-07    1.79853E-03    4.16872E-04
  0.00160    9.55900E-07    2.02546E-07    1.61890E-03    4.18278E-04
  0.00165    1.03759E-06    2.18212E-07    1.64886E-03    5.47798E-04
  0.00170    1.11006E-06    2.32474E-07    1.24981E-03    2.92922E-04
  0.00175    1.17572E-06    2.45635E-07    1.37661E-03    4.81956E-04
  0.00180    1.23813E-06    2.58801E-07    1.11965E-03    2.87435E-04
  0.00185    1.30232E-06    2.68832E-07    1.44806E-03    3.43173E-04
  0.00190    1.38146E-06    2.78333E-07    1.71764E-03    4.41911E-04
  0.00195    1.48313E-06    2.90043E-07    2.34889E-03    6.98733E-04
  0.00200    1.60190E-06    3.05460E-07    2.40199E-03    6.08833E-04
  0.00205    1.71746E-06    3.20790E-07    2.22038E-03    5.54163E-04
  0.00210    1.81944E-06    3.33760E-07    1.85888E-03    4.86917E-04
  0.00215    1.92509E-06    3.49137E-07    2.36712E-03    5.76346E-04
  0.00220    2.05164E-06    3.69001E-07    2.69504E-03    6.94059E-04
  0.00225    2.17371E-06    3.87150E-07    2.18769E-03    5.55276E-04
  0.00230    2.28024E-06    4.01167E-07    2.07332E-03    4.96560E-04
  0.00235    2.39546E-06    4.14661E-07    2.53545E-03    6.40520E-04
  0.00240    2.51983E-06    4.31678E-07    2.43967E-03    5.34348E-04
  0.00245    2.64287E-06    4.51476E-07    2.48172E-03    5.76133E-04
  0.00250    2.77401E-06    4.72975E-07    2.76376E-03    6.93793E-04
  0.00255    2.90933E-06    4.95717E-07    2.64919E-03    6.75348E-04
  0.00260    3.05488E-06    5.19365E-07    3.17263E-03    7.10331E-04
  0.00265    3.20282E-06    5.42050E-07    2.74507E-03    6.53282E-04
  0.00270    3.33435E-06    5.63452E-07    2.51636E-03    6.42739E-04
  0.00275    3.45514E-06    5.82723E-07    2.31521E-03    5.42747E-04
  0.00280    3.57473E-06    5.99382E-07    2.46818E-03    6.82993E-04
  0.00285    3.69260E-06    6.13987E-07    2.24655E-03    6.79835E-04
  0.00290    3.80555E-06    6.26146E-07    2.27180E-03    8.28177E-04
  0.00295    3.92729E-06    6.37456E-07    2.59748E-03    7.41506E-04
  0.00300    4.05305E-06    6.50027E-07    2.43321E-03    6.48710E-04
  0.00305    4.18003E-06    6.64912E-07    2.64600E-03    6.71052E-04
  0.00310    4.31285E-06    6.81458E-07    2.66669E-03    8.32691E-04
  0.00315    4.44524E-06    7.00772E-07    2.62902E-03    7.23231E-04
