        t         wt_avg         wt_std       dwdt_avg       dwdt_std
  0.00000    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00
  0.00005    0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00
  0.00010    1.90169E-08    4.31864E-09    7.60675E-04    1.72746E-04
  0.00015    7.28560E-08    1.70771E-08    1.39289E-03    3.99772E-04
  0.00020    1.58746E-07    4.39219E-08    2.04270E-03    7.80487E-04
  0.00025    2.70707E-07    7.46426E-08    2.43574E-03    6.08072E-04
  0.00030    4.12019E-07    1.08873E-07    3.21673E-03    9.81921E-04
  0.00035    5.65633E-07    1.42463E-07    2.92784E-03    6.31037E-04
  0.00040    7.74892E-07    1.77270E-07    5.44252E-03    1.51752E-03
  0.00045    1.10216E-06    2.44789E-07    7.64837E-03    2.01138E-03
  0.00050    1.57509E-06    3.42015E-07    1.12687E-02    3.18074E-03
  0.00055    2.12711E-06    4.63693E-07    1.08119E-02    3.07313E-03
  0.00060    2.69699E-06    5.98082E-07    1.19833E-02    3.38734E-03
  0.00065    3.28470E-06    7.29050E-07    1.15255E-02    3.09459E-03
  0.00070    3.82437E-06    8.49697E-07    1.00610E-02    3.09227E-03
  0.00075    4.30662E-06    9.56883E-07    9.22929E-03    2.47989E-03
  0.00080    4.78839E-06    1.03763E-06    1.00413E-02    3.06967E-03
  0.00085    5.43190E-06    1.14217E-06    1.56992E-02    5.20980E-03
  0.00090    6.14801E-06    1.27859E-06    1.29454E-02    4.12521E-03
  0.00095    6.79742E-06    1.40511E-06    1.30309E-02    3.99177E-03
  0.00100    7.40297E-06    1.52878E-06    1.11909E-02    3.80719E-03
  0.00105    8.08529E-06    1.66838E-06    1.61019E-02    4.41815E-03
  0.00110    9.19790E-06    1.91063E-06    2.84025E-02    9.19481E-03
  0.00115    1.05079E-05    2.21288E-06    2.39974E-02    6.39621E-03
  0.00120    1.17203E-05    2.46682E-06    2.44997E-02    7.16115E-03
  0.00125    1.28383E-05    2.69617E-06    2.02182E-02    5.51885E-03
  0.00130    1.37906E-05    2.88822E-06    1.78740E-02    5.33317E-03
  0.00135    1.46605E-05    3.05872E-06    1.69222E-02    4.62363E-03
  0.00140    1.54758E-05    3.21530E-06    1.56918E-02    4.35496E-03
  0.00145    1.63762E-05    3.38570E-06    2.03233E-02    6.07420E-03
  0.00150    1.73854E-05    3.56030E-06    2.00431E-02    5.52155E-03
  0.00155    1.85147E-05    3.73913E-06    2.51322E-02    7.36223E-03
  0.00160    1.98314E-05    3.96716E-06    2.75335E-02    8.53362E-03
  0.00165    2.14336E-05    4.23243E-06    3.65556E-02    9.00113E-03
  0.00170    2.32661E-05    4.50874E-06    3.67441E-02    1.00636E-02
  0.00175    2.49811E-05    4.74935E-06    3.18577E-02    8.10417E-03
  0.00180    2.67152E-05    4.96280E-06    3.75063E-02    9.75642E-03
  0.00185    2.86379E-05    5.22810E-06    3.93992E-02    1.17960E-02
  0.00190    3.06596E-05    5.57533E-06    4.14683E-02    1.27785E-02
  0.00195    3.25192E-05    5.90954E-06    3.29150E-02    8.69045E-03
  0.00200    3.42367E-05    6.25680E-06    3.57866E-02    1.21487E-02
  0.00205    3.61846E-05    6.71627E-06    4.21293E-02    1.46539E-02
  0.00210    3.81079E-05    7.16618E-06    3.48028E-02    1.40410E-02
  0.00215    3.99632E-05    7.61135E-06    3.94103E-02    1.39136E-02
  0.00220    4.16441E-05    8.00970E-06    2.78243E-02    1.07169E-02
  0.00225    4.32299E-05    8.37844E-06    3.56092E-02    1.17725E-02
  0.00230    4.50982E-05    8.78260E-06    3.91206E-02    1.20217E-02
  0.00235    4.70488E-05    9.24509E-06    3.89042E-02    1.57638E-02
  0.00240    4.89828E-05    9.75003E-06    3.84546E-02    1.41885E-02
  0.00245    5.07924E-05    1.01543E-05    3.39308E-02    1.34234E-02
  0.00250    5.26298E-05    1.05147E-05    3.95652E-02    1.50210E-02
  0.00255    5.44745E-05    1.08588E-05    3.42239E-02    1.09411E-02
  0.00260    5.61546E-05    1.11989E-05    3.29781E-02    1.64085E-02
  0.00265    5.78710E-05    1.15105E-05    3.56782E-02    9.51210E-03
  0.00270    6.03444E-05    1.17894E-05    6.32600E-02    2.13264E-02
  0.00275    6.28745E-05    1.20765E-05    3.79414E-02    1.14158E-02
  0.00280    6.53829E-05    1.23585E-05    6.23959E-02    1.99450E-02
  0.00285    6.79455E-05    1.26200E-05    4.01070E-02    1.08505E-02
  0.00290    6.97054E-05    1.27708E-05    3.02901E-02    8.02829E-03
  0.00295    7.16701E-05    1.29581E-05    4.82994E-02    1.51794E-02
  0.00300    7.40827E-05    1.31700E-05    4.82042E-02    1.45849E-02
  0.00305    7.62710E-05    1.33777E-05    3.93277E-02    1.12398E-02
  0.00310    7.82656E-05    1.36062E-05    4.04559E-02    1.11030E-02
  0.00315    8.03059E-05    1.38153E-05    4.11542E-02    1.45357E-02
